難易度,体験,入塾,満足,経理,総合スコア,ランク,退塾数,動員合計,入退差,最終デッキ,削除カード
pro,32,29,35,11,4,C,4,32,25,"締切間近の書類リマインド, 学力確認＆向上 公開模試, 問合対応の基本, 元塾生に講習案内, 保護者面談, テスト予想問題的中！, テスト予想問題的中！, 未入金家庭へ電話","質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, テレビCM放映, 校門前ビラ配り"
pro,40,30,37,14,11,A+,1,40,29,"入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, チラシ折り, 締切間近の書類リマインド, 締切間近の書類リマインド","質問対応の基本, 経理精算の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 質問対応の基本, 元塾生に講習案内, 生徒面談の基本, 校門前ビラ配り, 私も載ったよ！成績UP掲示, 笑顔伝わる教室通信"
fresh,16,16,16,14,8.4,S,1,16,15,"締切間近の書類リマインド, 褒めて励ます授業, スタンプ帳キャンペーン, プロジェクター授業, 事務リーダー1日派遣, 友人紹介, 補習大会, 質問対応の基本","校門前ビラ配り, 問合対応の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, ポスティング"
fresh,23,23,22,15,9.2,S+,0,23,23,"テレビCM放映, 心を掴む1日見学, 兄弟紹介, 兄弟紹介, 休み時間トーク, 日々の授業, できるまで居残り！, 振込用紙印刷","生徒面談の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 事務リーダー1日派遣, 問合対応の基本"
pro,25,25,17,12,4,C,3,25,22,"卒業生からの手紙, 笑顔伝わる教室通信, 兄弟紹介, プロジェクター授業, 休み時間トーク, 経理精算の基本, 宿題チェック, 締切間近の書類リマインド","生徒面談の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 元塾生に講習案内, 季節のデコレーション, ごほうび差し入れスイーツ"
pro,24,24,39,16,9,A,0,24,24,"経理精算の基本, 日々の授業, 笑顔伝わる教室通信, 経理精算の基本, 入塾後の未来へ 進路説明会, 笑顔伝わる教室通信, 締切間近の書類リマインド","生徒面談の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 校門前ビラ配り, 学力確認＆向上 公開模試, 保護者面談, 補習大会"
pro,42,26,28,13,8,A,2,42,24,"入塾手続きのご案内, 今だけ！体験生特典, 未入金家庭へ電話, 保護者面談, プロジェクター授業, チラシ折り, 校門前ビラ配り, 教室清掃","質問対応の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 苦手発見！質問対応"
pro,31,17,33,22,7,B+,0,31,17,"できるまで居残り！, チラシ折り, 締切間近の書類リマインド, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 未入金家庭へ電話","質問対応の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 保護者面談, 日々の出迎え, 締切間近の書類リマインド"
pro,45,39,29,15,12,S,0,45,39,"学力確認＆向上 公開模試, 入塾手続きのご案内, 学力確認＆向上 公開模試, 機材故障は本部に相談","経理精算の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 保護者面談, 質問対応の基本, 経理精算の基本, 元塾生に講習案内, 締切間近の書類リマインド, 入塾手続きのご案内, 日々の出迎え"
pro,40,35,23,16,11,A+,0,40,35,"褒めて励ます授業, 入塾手続きのご案内, チラシ折り, 未入金家庭へ電話, 私も載ったよ！成績UP掲示, プロジェクター授業, 学力確認＆向上 公開模試, 経理精算の基本","生徒面談の基本, 生徒面談の基本, 質問対応の基本, 質問対応の基本, 問合対応の基本, 保護者説明会, 問合対応の基本, 保護者面談, 経理精算の基本"
pro,50,44,18,14,12,S,1,50,43,"未入金家庭へ電話, 入塾手続きのご案内, 学力確認＆向上 公開模試, 未入金家庭へ電話","経理精算の基本, 経理精算の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 校門前ビラ配り, 季節のデコレーション, 振込用紙印刷, 保護者面談, 学力確認＆向上 公開模試"
pro,52,39,27,16,13,S,0,52,39,"宿題チェック, 私も載ったよ！成績UP掲示, 締切間近の書類リマインド, 今だけ！体験生特典, 学力確認＆向上 公開模試, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 校門前ビラ配り, 締切間近の書類リマインド, 日々の出迎え"
pro,44,33,24,18,11,A+,0,44,33,"締切間近の書類リマインド, 学力確認＆向上 公開模試, 補習大会, 兄弟紹介, 今だけ！体験生特典, 提出書類ファイリング, 保護者面談, 経理精算の基本","質問対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, スタンプ帳キャンペーン, 元塾生に講習案内, 生徒面談の基本"
pro,45,35,21,17,11,A+,0,45,35,"機材故障は本部に相談, 提出書類ファイリング, 教室清掃, 機材故障は本部に相談, 校門前ビラ配り, 今だけ！体験生特典, 学力確認＆向上 公開模試, 入塾手続きのご案内","経理精算の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, 元塾生に講習案内, 生徒面談の基本"
fresh,16,14,28,17,8.3,S,0,16,14,"褒めて励ます授業, プロジェクター授業, 教室清掃, 友人紹介, 備品注文, スタンプ帳キャンペーン, 締切間近の書類リマインド, 備品注文","経理精算の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 質問対応の基本, 経理精算の基本, 事務リーダー1日派遣"
pro,30,30,27,11,4,C,4,30,26,"締切間近の書類リマインド, 補習大会, 保護者面談, 宿題チェック, 進学相談フェア出展, 今だけ！体験生特典, プロジェクター授業, 友人紹介, 休み時間トーク","生徒面談の基本, 問合対応の基本, 質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 補習大会"
pro,51,31,17,20,11,A+,0,51,31,"テスト予想問題的中！, 経理精算の基本, チラシ折り, プロジェクター授業, 季節のデコレーション, 設問の急所は？教材研究, 機材故障は本部に相談, 経理精算の基本","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, チラシ折り, 元塾生に講習案内, 今だけ！体験生特典"
fresh,46,15,26,11,3,D,4,46,11,"機材故障は本部に相談, 備品注文, 私も載ったよ！成績UP掲示, 日々の出迎え, 赤字覚悟！？ 大抽選会, 学力確認＆向上 公開模試, できるまで居残り！, 質問対応の基本","経理精算の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, ポスティング, 保護者説明会, 経理精算の基本"
pro,39,39,22,23,10,A+,0,39,39,"入塾後の未来へ 進路説明会, 日々の授業, 校門前ビラ配り, 今だけ！体験生特典, 提出書類ファイリング, できるまで居残り！, 入塾手続きのご案内","質問対応の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 季節のデコレーション, 教室清掃"
fresh,31,26,28,12,7,A,3,31,23,"日々の授業, 質問対応の基本, 備品注文, 心を掴む1日見学, 入塾後の未来へ 進路説明会, テレビCM放映, 苦手発見！質問対応, 友人紹介","経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 質問対応の基本, 教室清掃, 校門前ビラ配り"
fresh,41,16,18,11,4,C,4,41,12,"学力確認＆向上 公開模試, 機材故障は本部に相談, 日々の授業, 締切間近の書類リマインド, 元塾生に講習案内, 努力の結晶 合格実績掲示, ここが出る！テスト対策, 笑顔伝わるお便り配布","生徒面談の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, ポスティング"
fresh,14,14,27,15,8.2,S,0,14,14,"できるまで居残り！, 元塾生に講習案内, 提出書類チェック, 学力確認＆向上 公開模試, 教室清掃, 入塾後の未来へ 進路説明会, 休み時間トーク, 経理精算の基本","問合対応の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, できるまで居残り！, 生徒面談の基本, スタンプ帳キャンペーン"
fresh,39,22,18,24,9.3,S+,0,39,22,"ポスティング, 休み時間トーク, 兄弟紹介, 苦手発見！質問対応, 生徒面談の基本, 学力確認＆向上 公開模試, 笑顔伝わるお便り配布, 差し入れ経費精算","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 元塾生に講習案内, 生徒面談の基本, 今だけ！体験生特典"
fresh,30,29,20,15,9.9,S+,0,30,29,"友人紹介, 振込用紙印刷, 学力確認＆向上 公開模試, できるまで居残り！, 振込用紙印刷, 入塾後の未来へ 進路説明会, 友人紹介, 差し入れ経費精算","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 保護者面談, 問合対応の基本"
fresh,45,32,23,9,4,C,6,45,26,"未入金家庭へ電話, 差し入れ経費精算, ここが出る！テスト対策, 学力確認＆向上 公開模試, 校門前ビラ配り, 学力確認＆向上 公開模試, 友人紹介, 休み時間トーク","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 校門前ビラ配り"
fresh,43,25,16,4,4,C,11,43,14,"学力確認＆向上 公開模試, 未入金家庭へ電話, 笑顔伝わるお便り配布, 友人紹介, 休み時間トーク, 学力確認＆向上 公開模試, 友人紹介, 経理精算の基本","質問対応の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 保護者面談, 保護者面談"
fresh,39,29,18,17,9.9,S+,0,39,29,"振込用紙印刷, 学力確認＆向上 公開模試, 校門前ビラ配り, 友人紹介, 教室清掃, 友人紹介, 学力確認＆向上 公開模試, 保護者面談","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 差し入れ経費精算, 問合対応の基本"
fresh,36,27,14,16,9.7,S+,1,36,26,"備品注文, 苦手発見！質問対応, 日々の出迎え, プロジェクター授業, 兄弟紹介, テレビCM放映, 兄弟紹介, 元塾生に講習案内","質問対応の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 差し入れ経費精算"
fresh,45,25,13,11,4,C,6,45,19,"未入金家庭へ電話, 褒めて励ます授業, 学力確認＆向上 公開模試, 兄弟紹介, 生徒面談の基本, 学力確認＆向上 公開模試, 経理精算の基本, 差し入れ経費精算","質問対応の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 元塾生に講習案内, 質問対応の基本, 校門前ビラ配り, 友人紹介"
fresh,29,24,14,15,9.4,S+,1,29,23,"生徒面談の基本, 備品注文, 振込用紙印刷, 心を掴む1日見学, プロジェクター授業, 笑顔伝わるお便り配布, 学力確認＆向上 公開模試, 生徒面談の基本","問合対応の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 元塾生に講習案内, 兄弟紹介, 質問対応の基本, 差し入れ経費精算"
fresh,33,21,17,14,9.2,S+,1,33,20,"ここが出る！テスト対策, 差し入れ経費精算, 締切間近の書類リマインド, プロジェクター授業, 校門前ビラ配り, 努力の結晶 合格実績掲示, 振込用紙印刷, 教室清掃","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 元塾生に講習案内, 経理精算の基本"
fresh,35,19,19,15,9.1,S+,0,35,19,"備品注文, 努力の結晶 合格実績掲示, 宿題チェック, 友人紹介, 兄弟紹介, 今だけ！体験生特典, 兄弟紹介, 提出書類チェック","経理精算の基本, 経理精算の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 私も載ったよ！成績UP掲示, 生徒面談の基本"
fresh,17,17,18,18,8.6,S,0,17,17,"努力の結晶 合格実績掲示, 保護者面談, 日々の出迎え, プロジェクター授業, 問合対応の基本, 兄弟紹介, 苦手発見！質問対応, 教室清掃","生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 質問対応の基本, 未入金家庭へ電話, 宿題チェック, 問合対応の基本"
fresh,33,19,17,15,9.1,S+,0,33,19,"生徒面談の基本, ここが出る！テスト対策, テレビCM放映, 兄弟紹介, 保護者面談, 苦手発見！質問対応, 宿題チェック, 努力の結晶 合格実績掲示","質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 未入金家庭へ電話, 問合対応の基本, 元塾生に講習案内, 生徒面談の基本"
fresh,42,27,15,15,9.8,S+,0,42,27,"差し入れ経費精算, 友人紹介, 生徒面談の基本, 兄弟紹介, 日々の授業, 学力確認＆向上 公開模試, 学力確認＆向上 公開模試, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 備品注文, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 校門前ビラ配り"
pro,37,19,38,15,9,A,0,37,19,"補習大会, 学力確認＆向上 公開模試, 提出書類ファイリング, 備品注文, テレビCM放映, テスト予想問題的中！, 兄弟紹介","質問対応の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 校門前ビラ配り, 締切間近の書類リマインド"
pro,25,25,25,19,9,A,0,25,25,"設問の急所は？教材研究, 締切間近の書類リマインド, ごほうび差し入れスイーツ, ごほうび差し入れスイーツ, 日々の出迎え, 学力確認＆向上 公開模試, 卒業生からの手紙, できるまで居残り！","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 提出書類ファイリング, 元塾生に講習案内"
pro,31,31,17,22,9,A,0,31,31,"教室清掃, テスト予想問題的中！, 学力確認＆向上 公開模試, 元塾生に講習案内, 学力確認＆向上 公開模試, ごほうび差し入れスイーツ, 苦手発見！質問対応, 休み時間トーク, テスト予想問題的中！, 提出書類ファイリング, 設問の急所は？教材研究, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 人気の秘密は？他塾研究"
pro,38,26,27,25,10,A+,0,38,26,"保護者説明会, 宿題チェック, 私も載ったよ！成績UP掲示, 締切間近の書類リマインド, 苦手発見！質問対応, 保護者説明会, 提出書類ファイリング, 学力確認＆向上 公開模試, 卒業生からの手紙, 保護者面談","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 機材故障は本部に相談"
fresh,24,13,26,20,8.4,S,0,24,13,"心を掴む1日見学, プロジェクター授業, 教室清掃, できるまで居残り！, 提出書類チェック, テレビCM放映, 振込用紙印刷, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 休み時間トーク"
fresh,45,24,21,9,4,C,6,45,18,"笑顔伝わるお便り配布, 経理精算の基本, 差し入れ経費精算, 教室清掃, 校門前ビラ配り, 学力確認＆向上 公開模試, 宿題チェック, 差し入れ経費精算","質問対応の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 元塾生に講習案内, 努力の結晶 合格実績掲示, 生徒面談の基本"
fresh,29,17,17,23,8.9,S,0,29,17,"振込用紙印刷, 学力確認＆向上 公開模試, 教室清掃, できるまで居残り！, 備品注文, 学力確認＆向上 公開模試, 締切間近の書類リマインド, 差し入れ経費精算","経理精算の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 質問対応の基本, ポスティング, 生徒面談の基本"
fresh,26,21,18,16,9.1,S+,0,26,21,"提出書類チェック, 努力の結晶 合格実績掲示, 友人紹介, 機材故障は本部に相談, 教室清掃, 学力確認＆向上 公開模試, 日々の授業, 元塾生に講習案内","問合対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 笑顔伝わるお便り配布, 経理精算の基本"
fresh,41,18,17,15,9,S+,0,41,18,"努力の結晶 合格実績掲示, 質問対応の基本, 未入金家庭へ電話, 兄弟紹介, 締切間近の書類リマインド, 学力確認＆向上 公開模試, 苦手発見！質問対応, 宿題チェック","問合対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 元塾生に講習案内, 備品注文, 生徒面談の基本"
fresh,26,18,20,15,8.9,S,0,26,18,"日々の授業, 差し入れ経費精算, 未入金家庭へ電話, 努力の結晶 合格実績掲示, 今だけ！体験生特典, ここが出る！テスト対策, 経理精算の基本, 経理精算の基本","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 休み時間トーク, 問合対応の基本, 問合対応の基本, ポスティング, 教室清掃"
fresh,19,19,27,15,8.8,S,0,19,19,"経理精算の基本, 締切間近の書類リマインド, 学力確認＆向上 公開模試, 褒めて励ます授業, 学力確認＆向上 公開模試, 友人紹介, ここが出る！テスト対策, 備品注文","問合対応の基本, 質問対応の基本, 質問対応の基本, 問合対応の基本, ポスティング, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 私も載ったよ！成績UP掲示"
fresh,30,24,19,18,9.5,S+,0,30,24,"プロジェクター授業, 友人紹介, 兄弟紹介, 経理精算の基本, 休み時間トーク, 提出書類チェック, 経理精算の基本, 教室清掃","生徒面談の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 問合対応の基本, 日々の出迎え, 質問対応の基本, スタンプ帳キャンペーン, 努力の結晶 合格実績掲示"
fresh,33,21,15,28,9.3,S+,0,33,21,"休み時間トーク, 学力確認＆向上 公開模試, ここが出る！テスト対策, 校門前ビラ配り, 補習大会, 学力確認＆向上 公開模試, 振込用紙印刷, 差し入れ経費精算","問合対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 未入金家庭へ電話"
pro,37,33,30,13,8,A,2,37,31,"日々の出迎え, 未入金家庭へ電話, 入塾手続きのご案内, プロジェクター授業, 季節のデコレーション, 進学相談フェア出展, チラシ折り, 友人紹介, 兄弟紹介","質問対応の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 元塾生に講習案内, ごほうび差し入れスイーツ, 季節のデコレーション, 卒業生からの手紙"
fresh,28,26,16,24,9.6,S+,0,28,26,"兄弟紹介, 提出書類チェック, 保護者面談, 学力確認＆向上 公開模試, 差し入れ経費精算, 学力確認＆向上 公開模試, ここが出る！テスト対策, 差し入れ経費精算","問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 日々の出迎え, 質問対応の基本"
fresh,17,17,21,27,8.6,S,0,17,17,"テレビCM放映, 日々の授業, 休み時間トーク, 補習大会, 補習大会, 友人紹介, プロジェクター授業, 差し入れ経費精算","経理精算の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 提出書類チェック"
fresh,24,21,16,27,9.1,S+,0,24,21,"私も載ったよ！成績UP掲示, プロジェクター授業, 休み時間トーク, 休み時間トーク, 問合対応の基本, 心を掴む1日見学, 努力の結晶 合格実績掲示, できるまで居残り！","生徒面談の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 提出書類チェック, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 未入金家庭へ電話"
fresh,26,21,20,12,7,A,3,26,18,"経理精算の基本, 振込用紙印刷, 努力の結晶 合格実績掲示, 教室清掃, 問合対応の基本, 兄弟紹介, ここが出る！テスト対策, ポスティング","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 休み時間トーク, 経理精算の基本, 笑顔伝わるお便り配布, 入塾後の未来へ 進路説明会"
fresh,33,12,18,17,8.5,S,0,33,12,"学力確認＆向上 公開模試, 締切間近の書類リマインド, ここが出る！テスト対策, 校門前ビラ配り, 保護者面談, 友人紹介, 締切間近の書類リマインド, 備品注文","質問対応の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 今だけ！体験生特典, 生徒面談の基本, 問合対応の基本"
fresh,12,11,19,18,7,A,0,12,11,"補習大会, 休み時間トーク, プロジェクター授業, ここが出る！テスト対策, 笑顔伝わるお便り配布, ポスティング, プロジェクター授業, 問合対応の基本","質問対応の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 備品注文, 問合対応の基本, 生徒面談の基本, 未入金家庭へ電話, 生徒面談の基本"
fresh,31,31,19,10,4,C,5,31,26,"締切間近の書類リマインド, 元塾生に講習案内, 兄弟紹介, 校門前ビラ配り, 友人紹介, プロジェクター授業, 振込用紙印刷, 教室清掃","質問対応の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, テレビCM放映"
fresh,28,22,18,20,9.3,S+,0,28,22,"兄弟紹介, プロジェクター授業, 兄弟紹介, 休み時間トーク, 経理精算の基本, 学力確認＆向上 公開模試, 機材故障は本部に相談, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, ポスティング, ポスティング, 経理精算の基本"
fresh,36,25,21,17,9.6,S+,0,36,25,"元塾生に講習案内, 備品注文, 締切間近の書類リマインド, 兄弟紹介, 褒めて励ます授業, 学力確認＆向上 公開模試, 苦手発見！質問対応, 差し入れ経費精算","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 入塾後の未来へ 進路説明会"
fresh,22,22,25,16,9.1,S+,0,22,22,"褒めて励ます授業, 経理精算の基本, 締切間近の書類リマインド, 未入金家庭へ電話, 心を掴む1日見学, 入塾後の未来へ 進路説明会, 経理精算の基本, 未入金家庭へ電話","生徒面談の基本, 質問対応の基本, 生徒面談の基本, 保護者面談, 質問対応の基本, 問合対応の基本, 休み時間トーク, 問合対応の基本, 入塾後の未来へ 進路説明会"
fresh,35,11,16,16,7,A,0,35,11,"機材故障は本部に相談, 締切間近の書類リマインド, ここが出る！テスト対策, 苦手発見！質問対応, 校門前ビラ配り, 努力の結晶 合格実績掲示, 学力確認＆向上 公開模試, 経理精算の基本","生徒面談の基本, 質問対応の基本, 生徒面談の基本, 質問対応の基本, 日々の出迎え, 経理精算の基本, 休み時間トーク, 問合対応の基本, 問合対応の基本"
fresh,24,23,17,13,7,A,2,24,21,"機材故障は本部に相談, プロジェクター授業, ポスティング, 兄弟紹介, プロジェクター授業, 経理精算の基本, 笑顔伝わるお便り配布, 教室清掃","問合対応の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 経理精算の基本, 休み時間トーク, 元塾生に講習案内"
fresh,24,17,12,19,7,A,3,24,14,"ポスティング, 笑顔伝わるお便り配布, 心を掴む1日見学, 友人紹介, プロジェクター授業, 兄弟紹介, 生徒面談の基本, 備品注文","質問対応の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 経理精算の基本, 宿題チェック, プロジェクター授業, 問合対応の基本"
fresh,31,25,22,16,9.6,S+,0,31,25,"締切間近の書類リマインド, 教室清掃, 兄弟紹介, 入塾後の未来へ 進路説明会, ポスティング, 学力確認＆向上 公開模試, 経理精算の基本, 経理精算の基本","生徒面談の基本, 問合対応の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 日々の出迎え, 保護者面談, 質問対応の基本, 教室清掃"
fresh,28,28,16,15,9.8,S+,0,28,28,"教室清掃, 保護者説明会, 苦手発見！質問対応, 経理精算の基本, 提出書類チェック, 努力の結晶 合格実績掲示, プロジェクター授業, 機材故障は本部に相談","生徒面談の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 休み時間トーク, 校門前ビラ配り"
fresh,39,28,18,8,4,C,7,39,21,"兄弟紹介, 校門前ビラ配り, 経理精算の基本, 機材故障は本部に相談, 休み時間トーク, 学力確認＆向上 公開模試, 苦手発見！質問対応, 経理精算の基本","問合対応の基本, 問合対応の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 補習大会, ポスティング, 努力の結晶 合格実績掲示, 生徒面談の基本"
fresh,30,20,18,23,9.2,S+,0,30,20,"できるまで居残り！, 学力確認＆向上 公開模試, 苦手発見！質問対応, 経理精算の基本, 保護者面談, 兄弟紹介, 褒めて励ます授業, 未入金家庭へ電話","生徒面談の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 休み時間トーク, 問合対応の基本, 努力の結晶 合格実績掲示"
fresh,26,23,18,15,9.3,S+,0,26,23,"差し入れ経費精算, 振込用紙印刷, 保護者面談, 質問対応の基本, プロジェクター授業, テレビCM放映, ここが出る！テスト対策, 教室清掃","生徒面談の基本, 問合対応の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 元塾生に講習案内, 生徒面談の基本, 経理精算の基本, 機材故障は本部に相談"
fresh,26,26,21,17,9.6,S+,0,26,26,"備品注文, 保護者説明会, 保護者説明会, 締切間近の書類リマインド, 経理精算の基本, 学力確認＆向上 公開模試, ここが出る！テスト対策, 宿題チェック","経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 休み時間トーク, 質問対応の基本, 質問対応の基本, 入塾後の未来へ 進路説明会"
fresh,23,18,24,17,8.8,S,0,23,18,"差し入れ経費精算, 兄弟紹介, プロジェクター授業, 備品注文, 校門前ビラ配り, 今だけ！体験生特典, 経理精算の基本, 機材故障は本部に相談","問合対応の基本, 経理精算の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 笑顔伝わるお便り配布, 褒めて励ます授業"
